"offer_id","customer_id","listing_id","agent_id","offer_price","offer_date","status","contingencies"
43,149,204,28,"3497898.53","2024-11-15","accepted","Pretty time middle sound although area top TV thousand value yes."
44,122,145,NULL,"2383531.74","2025-11-24","submitted","Institution day bank center team plant community likely who."
45,188,210,17,"2697262.48","2025-05-09","counter","Case down rich today line yourself will hour adult have imagine."
46,38,167,9,"1825972.30","2025-07-27","accepted","Your can hold class doctor care world yeah."
47,70,188,23,"1457882.90","2024-05-22","submitted","Than edge meeting material director chair option."
48,136,149,5,"5922.61","2025-06-07","expired","Yes body necessary dark open reach myself."
49,161,168,7,"4456.04","2024-07-17","expired","Attorney science unit cost into marriage though example modern model record top father."
50,140,60,21,"1472315.44","2025-10-18","accepted","Part marriage both describe nothing small chance."
51,179,31,7,"1661793.00","2025-11-11","expired","Million poor different consumer record leader fill simply think line head five south."
52,211,10,9,"3408556.05","2025-05-26","expired","Ready main goal consumer woman TV inside street American live."
53,200,30,22,"5544.75","2025-09-02","counter","Right federal pass bring purpose actually like better."
54,40,76,13,"1104989.38","2025-09-07","expired","Method inside seem science read trip a street weight seem fight."
55,213,53,NULL,"2805145.07","2024-12-31","expired","Cause technology discover Democrat debate total support read them."
56,180,99,8,"3322520.12","2024-06-22","rejected","Eight ever we rich build true help."
57,20,140,9,"6109.32","2025-09-19","submitted","Face thought to indicate class themselves."
58,80,40,9,"1450196.52","2024-12-01","rejected","Since yard responsibility memory dog find various."
59,153,54,22,"3718051.87","2025-07-31","counter","Treat meet office door yet relationship line voice professional along day technology."
60,8,173,8,"2950414.55","2025-08-26","counter","Hot matter special investment development make part enjoy attorney former trouble picture position."
61,178,196,15,"2106289.31","2025-11-14","accepted","Family feel machine expect agent also."
62,34,207,NULL,"608591.03","2025-11-27","rejected","Six four event actually seven drug form plant you leave."
63,201,7,2,"4278850.89","2024-04-02","rejected","Away prevent always write out magazine bit view pick each."
64,11,63,3,"2400862.67","2024-10-17","expired","Leave yet energy newspaper newspaper find officer."
65,121,122,17,"5024.83","2024-10-30","submitted","Avoid quite brother scene fact war security inside."
66,171,197,7,"933515.04","2025-08-14","submitted","Ready operation candidate movement history smile left ability or."
67,53,81,13,"2342244.62","2025-03-16","counter","Sure need indeed size show reach report."
68,8,142,18,"2167335.70","2025-11-22","expired","Majority benefit purpose my least cost similar cover rather game."
69,42,4,40,"5109.80","2025-11-21","counter","Stock imagine practice here teacher edge sea cultural according run per use."
70,18,189,38,"2540677.95","2024-11-11","submitted","Factor concern information into commercial win drive sister or figure bank."
71,184,46,19,"1946356.03","2025-08-27","counter","Tax reduce recently concern idea return memory above."
72,138,163,7,"2252399.19","2025-01-12","counter","The say street she approach avoid blue three college issue politics moment record."
73,218,76,24,"1412899.28","2025-03-19","expired","Ok population continue life culture doctor indeed blood."
74,173,79,NULL,"2378031.40","2024-11-24","counter","Real chance force international American play much blood continue top."
75,98,68,33,"761063.80","2025-11-16","counter","Defense money station no article station picture coach carry personal second serious."
76,195,99,NULL,"3036761.43","2025-07-15","submitted","Go camera station art all sort evening condition tell rise region."
77,134,26,24,"2994216.50","2024-01-01","accepted","Bag part rich bring mean member he but will as theory wall follow."
78,11,157,32,"1686999.18","2025-11-25","submitted","Blue step rise gas stuff box coach mean since."
79,117,135,20,"2358762.23","2025-11-22","rejected","Write consider level among not open."
80,105,86,28,"2562981.66","2025-06-02","counter","Keep operation expect west manage throw."
81,216,180,24,"2959569.92","2025-10-06","counter","All have field eight region maybe yourself."
82,173,168,7,"4189.56","2025-07-21","rejected","Sell ask not new soldier fast reveal fund other staff."
83,169,150,8,"4405.92","2025-10-27","counter","Whether seat feeling test pass pay argue consumer."
84,178,83,7,"4451.82","2024-09-17","counter","Walk produce film front source serve officer attorney."
85,51,163,39,"1747674.04","2025-02-08","rejected","Green instead try help subject such world very."
86,215,186,32,"2319.72","2025-07-10","accepted","Vote media authority nation go little likely age such guess international to."
87,197,201,18,"1392410.39","2025-10-01","rejected","Author surface report billion almost common seven economic list TV safe."
88,171,84,26,"3162128.51","2024-05-20","rejected","More teacher assume performance when movie act level television system."
89,38,92,7,"831314.75","2025-11-01","submitted","Try investment a start fish end letter."
90,128,177,9,"1510517.34","2024-10-09","submitted","Father modern else unit down opportunity exactly seat collection human increase."
91,14,95,32,"1050517.96","2025-08-12","submitted","Believe who mission research direction they do evidence red past."
92,98,43,21,"2079291.24","2025-07-27","counter","Five front Congress scientist surface city leave."
93,160,34,5,"2502308.73","2025-11-26","expired","Become hard pay white positive bring special age ball bit drug."
94,203,187,19,"3768573.72","2025-11-12","rejected","Manage know song must probably size program modern suggest close take around arm single."
95,67,42,35,"854356.47","2025-11-03","expired","Standard never any social paper accept increase."
96,196,65,28,"1020601.90","2025-10-21","submitted","Ago young evening relate project about this tend indicate note."
97,81,177,29,"1575629.76","2025-10-22","rejected","Sport scientist safe technology minute seek lawyer least."
98,46,64,20,"450904.37","2025-11-27","counter","Kind action third ok community environmental."
99,35,54,25,"3320340.77","2025-07-29","rejected","Many your course marriage plan seven allow."
100,146,77,36,"1509166.37","2025-10-22","expired","Too special crime argue push civil buy suddenly work executive."
101,122,43,11,"1860804.63","2025-06-06","expired","Head since animal daughter eat last trip sign family establish major talk."
102,68,111,25,"2802829.50","2025-10-17","expired","Appear start between whom remain all machine never develop member."
103,197,137,NULL,"1247360.68","2025-02-01","accepted","Step bank alone response small blue five."
104,152,42,24,"744122.87","2024-08-14","accepted","Answer process quickly international line half specific fine."
105,150,189,22,"2772537.31","2025-03-28","rejected","Item outside writer cell administration agree support letter interest visit method sort."
106,89,87,NULL,"2938456.74","2025-08-02","rejected","End recent surface probably budget get body theory you newspaper southern mention bad."
107,170,142,16,"1969815.33","2025-09-16","accepted","Audience peace opportunity culture side interesting book world guess with beat."
108,177,97,20,"2109.26","2025-11-11","submitted","Sound street within inside practice late car green read."
109,6,202,3,"1600126.15","2025-09-27","rejected","Must off participant sort long movie structure throughout entire around."
110,109,13,27,"2932008.97","2025-03-01","accepted","Especially product fill ever consumer military friend with."
111,121,104,21,"935965.88","2024-11-10","rejected","Whether argue lead board finish join road east majority a crime scientist attention."
112,83,162,32,"1466608.67","2025-05-29","submitted","Dark article life room network rate forget face knowledge black car hour."
113,53,2,33,"3031309.16","2025-07-03","accepted","Modern learn carry energy turn imagine well single."
114,77,112,28,"3525215.70","2024-07-28","counter","Manager poor high benefit big require mouth into end culture truth trial."
115,217,103,NULL,"1783595.87","2025-08-14","submitted","Nation cause hospital care term bring act."
116,138,139,17,"1816427.71","2025-10-17","submitted","Institution term job teacher hand economic exist player story often popular."
117,147,133,15,"5940.91","2025-05-10","expired","Environment walk cover federal increase wish city bad class part rock."
118,24,144,38,"5297.44","2025-11-12","submitted","Avoid goal stop three stand carry question when wish."
119,70,46,34,"1982841.63","2025-05-08","rejected","Bar old her true sort that though collection son civil later magazine computer."
120,89,181,20,"677703.44","2025-09-15","expired","Special base TV baby water agree politics dinner imagine mind teach explain."
121,111,75,21,"510338.87","2025-11-02","counter","Cell night interview loss fast could whatever forward boy up traditional weight half."
122,65,118,30,"2495969.39","2025-11-20","expired","Music little yard reach amount attorney room tonight behavior matter magazine."
123,5,51,34,"6372.77","2024-10-28","counter","Operation success expert finally position night old degree story evening always action cold."
124,55,124,30,"2068482.05","2025-10-03","accepted","Why vote rich even within wear close already discussion while."
125,137,187,28,"3946061.16","2024-12-18","expired","Mr herself night establish early play."
126,16,34,24,"2840512.06","2025-03-03","rejected","Hot loss floor camera perhaps note develop big lose woman parent."
127,39,112,20,"3503025.90","2024-04-14","rejected","Morning walk on positive resource mention every step radio though boy test."
128,221,51,5,"6858.37","2025-01-24","counter","Rise husband animal adult blood institution Democrat soldier."
129,69,138,11,"2681543.59","2025-07-04","accepted","Authority set how marriage above range collection no already campaign hotel hundred."
130,61,201,8,"1362240.66","2024-08-28","counter","Example experience medical force write after born girl color finally."
131,63,186,20,"2373.99","2025-07-23","rejected","Authority hand agency option draw last."
132,112,182,3,"2376.26","2025-04-12","counter","Character line magazine away some guess cover."
133,35,144,18,"4433.06","2025-11-26","expired","Our career much subject collection buy child drive public safe ball network."
134,219,128,32,"6799.25","2025-10-28","submitted","Area many development century clearly top."
135,22,131,20,"2123.85","2025-04-09","submitted","Cold difference main among risk sure floor listen."
136,105,190,6,"3516901.53","2025-05-03","rejected","Event certainly standard common catch total expert long may."
137,186,89,16,"496806.40","2024-10-11","submitted","Despite second citizen her significant under public conference change."
138,129,60,NULL,"1397731.93","2025-09-16","expired","Beyond practice under usually month figure evening trade star despite."
139,149,183,NULL,"1194082.14","2025-03-08","expired","Soon receive room middle bar season report visit eye travel process evidence."
140,24,82,8,"2236495.87","2025-10-23","accepted","Outside wonder green owner have case receive direction."
141,150,58,16,"1949227.83","2025-05-17","rejected","Detail majority energy natural stage start paper particularly imagine keep happy bar vote."
142,28,170,18,"4976.41","2025-09-10","rejected","Find event fill size over position TV majority into could society daughter song."
143,221,19,32,"2673027.87","2025-02-09","expired","Magazine good writer language plan state despite must."
144,29,174,28,"2038.38","2025-11-07","rejected","Cultural top blue training hope democratic certain true edge visit reason past know."
145,72,89,10,"462547.08","2024-12-07","accepted","Alone local start long gun population present development discover total discussion."
146,95,4,2,"5314.41","2025-09-25","expired","President head admit day several figure set area room rock bar time kid start."
147,190,56,4,"1859624.05","2024-04-15","counter","Car bar wall direction standard your sure."
148,99,11,24,"1567382.56","2025-10-04","submitted","Which however hour without writer receive."
149,61,132,25,"1452312.79","2025-05-05","submitted","Discover seek admit performance including exist which imagine direction organization particular."
150,101,124,NULL,"2270434.17","2025-11-03","accepted","West night better college notice forward sit ball wife campaign."
151,211,138,20,"2284279.84","2025-11-11","counter","Ok debate team floor spring each value hard campaign."
152,42,96,NULL,"3765918.32","2025-10-12","accepted","Face may how their produce area unit such rise sense suggest student sister."
153,197,69,3,"1145997.13","2025-07-15","accepted","Over week trial whom audience best newspaper herself this."
154,211,28,32,"3181870.95","2025-06-21","rejected","Fund yes history stock simple state."
155,216,88,28,"1613635.80","2025-11-04","submitted","Painting chair perform since until organization no it affect money."
156,179,176,5,"1338063.55","2024-04-02","accepted","About cost indicate sea still mean team fill very couple none."
157,187,70,21,"2607848.27","2025-11-17","rejected","People early thing step whom defense military population over."
158,196,190,12,"3323472.10","2025-04-24","rejected","Perhaps account them save claim theory stand draw."
159,35,175,13,"1752145.60","2025-07-01","accepted","Almost be professional perform man second subject perhaps way Republican commercial."
