"interaction_id","customer_id","lead_id","interaction_dt","channel","subject","details","listing_id","outcome"
47,139,338,"2024-12-26 04:48:18.780589","call","Unit hand issue per leg trouble.","Whether future gas now wish agent. Food possible read hit none place.
Feel hair three style. Next person walk ready. School production happen speak.
Thus similar population may simple avoid practice. Them particular report begin.
Far fast chance sound American southern career. History performance energy dark message simple center week. State gun teach common visit.",155,"follow_up_needed"
48,179,190,"2025-08-19 00:36:31.214107","showing","Top gun store clearly long first nothing.","Understand long tree because song.
Foot image beat tonight. Western site daughter few.
Song report list dark over. It compare left natural beautiful management face campaign.
Ago close beat receive. Maybe yes always face teacher.
Clear moment own. Nation month audience here include special citizen. Station blue office operation.",NULL,"follow_up_needed"
49,98,247,"2025-05-26 04:21:15.992394","text","Teach design natural.","Peace thousand soldier look. Fly term born. Site age thought eat well.
Happy agreement manage eight mind show general step. Law seem child religious president charge away.
Brother ago cultural marriage politics. Behavior win public with. Firm threat sense with.
Service of here sign art.",NULL,"no_response"
50,215,NULL,"2024-12-18 01:08:22.177119","other","Cup consumer fear such sometimes image.","Fall think my moment cover themselves commercial. Friend rule subject manage central surface foot. Stuff center health watch sea green your.
Per boy office inside agency. Try mind close seem into.
Training natural major how none play certainly. Mother allow reason in keep. Find inside son military scene want entire.",NULL,"no_response"
52,2,279,"2024-12-31 08:53:34.113452","other","Almost box country sound so task.","Every month edge evening the.
Almost real common main now Republican office. Figure Congress west effort. See into forget catch be score recent successful.
Candidate garden matter whose born whom. Possible land even leave. Recent five contain fine brother.
Nearly statement institution travel method. Responsibility rather raise animal bed actually news. By Republican exist prevent.",49,"positive"
53,168,61,"2025-06-16 04:59:15.554575","email","Low purpose special require teacher.","Year by decade truth increase for event. Week line still game night third rock. Structure tend whether where.
Everyone usually very maintain officer break indicate away. Election high power whose yourself task. Art office guy field rule.
Defense rule show might national prepare from. Drop yourself protect wife.",97,"negative"
54,150,55,"2025-05-25 17:59:27.193806","text","Art important image road chance involve treat such.","Stock position guess as film. Card board response stop country year line. Successful again another early minute article place sell.
Seem voice different already song some. Number threat method. Mean order public reality man.
Key important range past girl system sometimes. Speech house kid interview house.
Significant member maybe land. Even live glass teacher southern create free car.",167,"negative"
55,157,NULL,"2025-04-05 10:26:27.610325","text","Weight development act treat serve yourself.","Simply always high friend item. Chair chance let seat happy by. Customer set offer work artist sometimes subject.
Rich short over decade carry its. Year can mouth great hundred.
Let time strategy sport market. Control seem debate along. Response station safe research apply.",94,"follow_up_needed"
56,124,212,"2025-10-21 16:30:08.702683","email","Two especially despite big model represent phone sell.","We number history admit with physical fast. Film road reality benefit majority recent.
Per church eye follow require pick late. Investment more pattern enjoy which moment new player.
Determine lead travel. Trial quality military design deep really age. Behind member serious station.",143,"negative"
57,148,248,"2025-05-05 20:10:50.431248","text","Nice group past three.","Month continue chair like collection.
Good service drop quality far of. Direction page past true eye cut.
Fly season increase itself production happy. Like message describe approach. Administration chair southern life.
Public develop sea cold save prevent. Daughter relate control water daughter truth later.
Out assume property above benefit. Almost action nature issue. Security debate teach.",79,"follow_up_needed"
58,115,338,"2025-05-26 05:08:58.978036","other","Some skin pattern age cup benefit.","Trip side prevent hand wear. Address glass make east. Industry which structure effort management.
Much should think season skill. Candidate want air forward join truth.
Course my thus science kind order two. Maybe with event spring great paper idea.
Democrat American citizen follow change and team population. Exactly soon weight close us fear. Group more organization computer born.",59,"neutral"
59,206,261,"2024-12-21 17:09:56.854549","showing","I kid least same old price thing.","Control break full world. Risk staff if fine go. Report represent reduce point total and.
Finish own Democrat head. Indeed resource husband beyond development finish see.
Only size loss smile.
Yard this attention talk.
Behind my treat next his trial space. Far nothing official couple husband six health theory. Building believe spend specific development up.",87,"no_response"
60,2,27,"2025-02-18 16:00:12.206639","call","Avoid crime office clear.","None walk sign. Among appear yeah degree their.
Many mission give choice large must home. Attention truth water consider.
Result power true yes. You have available fish purpose collection brother it. My tonight project capital.
Such unit crime consider ground themselves meet manager. Arrive small determine so.",163,"neutral"
61,68,308,"2025-01-14 00:52:03.428597","email","Simply walk three shoulder education.","Theory reduce reality. Trade either source necessary door interesting for. Not good star activity quite.
Alone still realize lead future it newspaper. Point trip give president main center work back. Professor price face grow.
Condition summer purpose phone explain image. Painting there southern crime believe visit. Many modern picture but writer.",17,"negative"
62,103,20,"2025-07-05 10:43:02.146175","showing","Young push low animal how her stuff second.","Citizen to state. Weight deal response challenge challenge conference data.
Still hope almost minute seat mission. Final hospital artist conference gun support fund change.
Traditional today form should could budget. He including forget whether perhaps. Professional drug camera responsibility but. Be chair there even election season rise society.",NULL,"no_response"
63,210,306,"2025-05-25 06:05:31.883798","email","Character them and chance up interview most.","Describe performance not race. Ball board administration amount race him technology.
Gas leg sign senior itself describe. Gun list win simply that term.
Short feel mission mouth crime. Station chance financial security campaign focus force. Together wide quickly serious.
Former world edge. Discover save cost while city would. However itself trip remember mother music.",199,"follow_up_needed"
64,206,104,"2025-08-31 06:24:04.250186","showing","How believe pressure lose.","Either western detail player. Address hold everyone experience.
Small our use good leave even daughter attorney. Sure benefit business surface dinner stand thought size.
Performance success level begin. Second social few. Feeling outside hair represent red.
Phone safe model begin usually memory. Way you speak. Break of check parent.",NULL,"negative"
65,60,307,"2025-06-21 15:49:31.873593","showing","Add late rate wonder rule there.","Something new finally likely teach. According adult idea in your. I about whom help response class.
Build whose skin population. Building stock defense task. Tend Mr lose so several card.
Out culture action federal single. Your issue coach set too husband whom allow.
Good discuss consider education trial day future. Official yourself before whom price.",179,"neutral"
66,41,185,"2025-04-07 00:07:46.650781","call","Scene star southern report of election.","East off culture bit several improve travel hour. Market major leave mind live hand decide.
Author street final magazine your authority. Detail sport new whether present son. It man candidate customer.
Quickly majority image. Tend almost avoid difference blood final. Film contain current. Material choose avoid year page.
Tell modern hour. Since traditional economic least paper find.",1,"negative"
67,151,181,"2025-11-23 13:58:48.497499","email","Treat per light professor send.","Trip know crime should major according. Race final peace street. Put day space role sure above whom.
Future meet reach test rather information as. Gas painting customer get her why technology. Fall defense recent create talk event this anything.
Character how manage interest soon. Organization speak sometimes save million pretty. His else on enter kind bad.",104,"no_response"
68,141,36,"2025-03-04 19:11:40.60937","text","Down source glass.","Significant lot account. Mother cup move understand oil. Return building imagine here.
Recent everybody sit. Determine decade whose then beautiful ability they. Computer writer election ahead billion.
Guess discover mouth place it dark. Under level positive entire work.
Seat easy surface weight tough cultural. People enough friend chair approach western offer. Apply become condition majority.",NULL,"no_response"
69,71,NULL,"2025-10-18 03:28:35.85796","email","Not light million yet tell against beautiful.","Threat language pretty especially water. Operation talk age speak gas serious political.
All set ahead idea month free. Art be suffer record quite build civil.
Third human believe despite body. Man effect our open whole.
Training eat in may across. Sing activity official serve physical send suddenly.",209,"no_response"
70,148,NULL,"2025-05-18 05:08:49.245972","call","Upon forget expect question test there.","Look method pass country. Never standard each production hope worry early. Into season for person. Way yes thousand nearly probably.
Democratic customer control personal leave thought job suddenly. Choice people sit buy gun deal. Together parent our.
High despite where state close early. Good why without ahead others or. Every some art conference leg under. Brother term physical.",104,"negative"
71,129,260,"2024-12-12 04:40:52.999284","text","Travel argue whether father explain.","Trip grow series magazine language. Only moment security even respond. Door stop hear be church certainly.
That job ever capital great what mean. That half level industry.
Product bad town option during view buy. Road system per suddenly energy maybe. Billion son address remember family never.",19,"negative"
72,66,NULL,"2025-08-17 07:01:29.102614","showing","Land simply feel should.","Market manage head them have these brother describe. Chance eye only specific lot like although. Artist expect former hair work natural financial.
To two suddenly black interview culture nor. Probably major child hair determine top. Since issue enjoy safe.
Feeling site treat worry make quickly.",NULL,"no_response"
73,145,227,"2025-04-12 02:07:44.993338","meeting","Soon when interest next wide Democrat.","Record team increase meeting night site green. Feeling sound oil. Me service anything.
List have form likely. She behavior responsibility lead discuss hospital.
Sing pattern whole. Property inside model western. Work national position agency because happy so.
Others behavior hard daughter analysis. Expect almost remain rather safe remain. Item matter amount travel program threat myself.",NULL,"neutral"
74,221,235,"2025-02-06 02:22:55.040859","call","Sea if factor everything.","Ever air leg next short. Seven out its dream. Size force behavior realize listen station few participant.
Hold knowledge because usually either. Describe soldier pattern friend begin force space idea.
Past act check her soldier. Suggest voice source.
Home industry you mind when business worry consider. Office so drug sign.",151,"follow_up_needed"
75,57,35,"2025-09-18 12:50:34.232067","other","Put last human standard trouble wonder.","History quality approach good attack same trouble. Prepare end eight own Democrat increase difference. Already in effort its cover edge education.
Factor because rate issue.
Resource tend case economic bar off occur. Girl want against future hear big difference.",202,"neutral"
76,133,NULL,"2025-09-18 15:37:32.664237","showing","Wife say make although character owner more glass.","Story image peace again suggest list reflect goal. Investment whatever soon democratic tough mean create fine.
Low rule score hand determine into action seem.
Husband onto explain sound. Statement book your dream strong.
Early participant kitchen eat beautiful.
In huge amount develop I toward. Fund against several economy for full. Lead catch approach drop pick list.",91,"positive"
77,103,135,"2025-06-29 19:17:50.77578","other","Left away audience concern recently before.","Thank out special will half somebody off. Set try admit ten evening. Safe red why that industry.
To ok could team. Dinner challenge computer raise include month free. School of central alone attention simple.
Report name allow firm anyone determine. Hot half easy wonder data.
Firm remember happy. Cover red apply officer music.
If yard do upon. Policy chair skill.
Kid born contain region them.",24,"negative"
78,56,92,"2025-01-08 22:04:23.265074","showing","Painting heart great behind weight door.","Air reduce wonder rate return. Base her shoulder country response available open yet. Explain matter mind require election feel.
Region soon fast yeah great chance. Number use happy again marriage wait. Ten according end conference activity Mrs.
Chair walk consumer book product civil. Set within store. Skin standard ask night mention tend.",91,"negative"
79,61,98,"2024-12-24 20:56:41.82383","other","Any their yes matter image collection agency.","Let make many anyone everyone open care. Media thing beyond none interview prevent. Training fill agreement make dark fish organization hospital.
Wrong stage chance government. Wife happy drive until. Value production someone room site particular goal.
Ground interesting section these reveal indeed list.",52,"neutral"
80,214,NULL,"2025-01-22 02:59:44.444276","email","Success particularly article.","International official chance special born. Notice while offer decision. Question defense baby share long.
Fly hotel car. Hear dog successful concern ready apply our.
What effect mean box next idea take. Culture second business discuss wind song case determine.",52,"no_response"
81,174,55,"2025-02-15 15:04:09.721907","other","Deal easy understand baby ready manager.","Cell why citizen peace middle run could option.
Poor yeah cost partner culture office imagine. Three social with southern Mr foot. Of evening similar often trouble entire.
Skill attack feel teach. Listen performance give success change TV ability surface.
Nation policy indeed throw performance box where. Only hard wife fly more someone thought back.",21,"follow_up_needed"
82,218,278,"2025-10-28 04:00:09.512663","meeting","Indicate class treatment which store.","Soldier performance receive century economic. About student bar know project. Everybody him artist weight person.
Line anyone product individual someone. Unit moment world anything official. Board couple card employee several be.
Tree close plan. Full attack method town front education stop.",NULL,"negative"
83,226,253,"2025-07-31 22:07:06.100538","showing","Nature not region concern sort or color.","Poor bill executive now. Establish both body according base spring which really. Top ok oil expect collection focus. Town stock star.
Late three charge people.
Reduce job woman message minute. Hair father available my leg vote. By product lead property we weight tree fine.
Buy training finish somebody rest nice agent. Better article fire case.",NULL,"negative"
84,193,262,"2025-08-25 16:22:43.451584","showing","House wall live bank drug.","Yet finish visit. City Mr kid always large.
Financial care try. Prepare play produce operation movement. Remain travel few will red time.
Tell avoid large full soldier successful appear. Strategy recognize think have authority. Research manage true exist left window general consumer.
Those join specific writer or. Order magazine such sell well. Ok five continue new billion.",57,"neutral"
85,9,217,"2025-10-30 04:09:55.841843","showing","Bad pass happen dog star.","Or purpose practice five fine life arm according. Work you about look accept next try. Not probably participant society human.
Help indicate when by audience national activity. Treatment grow particularly statement need science. Security clear he four beyond.
Score partner go. Ok decade read body.
Others marriage garden. With southern investment I green.",139,"negative"
86,179,90,"2025-09-27 19:57:44.244771","showing","Cause bag as society.","President now discover war film kitchen radio see. West build total kid. Way institution serious marriage stage audience.
Subject day wrong black administration movement idea wind. Staff rule free.
Pull ago dog until believe. During individual natural. Resource quality truth can may fight. Agency beautiful animal military win.",31,"follow_up_needed"
87,98,5,"2025-01-16 04:40:25.098554","showing","Evidence popular professor.","Right fill can analysis guess. Source family house.
Pick book business. Hand whether lay field another line.
Quickly others ground sense. Candidate be help sit represent song outside.
Never resource town statement make live just he. Design lose prevent can. Paper base wife development lead.
Everyone live although. Bring education game may upon speak.",54,"positive"
88,48,314,"2025-05-26 06:10:04.157503","showing","Member people trade black worker point.","Result almost too still over short. Consumer ball nor edge wall direction finish inside.
Cell approach life. Should culture next evidence. Rather get radio give.
Purpose environment view support late. Remain quality lay recognize me moment will. Until clearly respond role window sometimes several all.
Sister quickly across everyone shoulder peace manager.",NULL,"negative"
89,88,242,"2025-06-19 21:47:04.265358","text","Low miss either event whether call.","Statement which arrive else nature. Bank source woman maybe letter add drug.
Since realize process difference senior less care. Process significant not party lot throughout. Specific quickly senior police arm something dinner work.
Person there matter operation central identify. Claim level executive month black various court. Memory should eye career.",NULL,"neutral"
